machine,date,missing_count
QuickTurn,2025-05-22,51694
QuickTurn,2025-05-23,11637
QuickTurn,2025-05-26,61215
QuickTurn,2025-06-02,60992
QuickTurn,2025-06-03,55044
QuickTurn,2025-06-04,81300
QuickTurn,2025-06-05,55958
QuickTurn,2025-06-06,26306
QuickTurn,2025-06-07,110856
QuickTurn,2025-06-08,77244
QuickTurn,2025-06-09,10891
QuickTurn,2025-06-10,76255
QuickTurn,2025-06-11,68015
QuickTurn,2025-06-12,36430
QuickTurn,2025-06-13,27749
QuickTurn,2025-06-16,62751
QuickTurn,2025-06-17,42303
QuickTurn,2025-06-18,5449
QuickTurn,2025-06-30,93646
QuickTurn,2025-07-01,44223
QuickTurn,2025-07-02,87332
QuickTurn,2025-07-03,69626
QuickTurn,2025-07-04,8546
QuickTurn,2025-07-07,18754
QuickTurn,2025-07-09,26506
QuickTurn,2025-07-10,37110
VTC,2025-05-22,56537
VTC,2025-05-23,52
VTC,2025-05-26,65145
VTC,2025-06-02,59286
VTC,2025-06-03,21297
VTC,2025-06-04,18349
VTC,2025-06-05,87872
VTC,2025-06-06,56495
VTC,2025-06-07,126
VTC,2025-06-08,31561
VTC,2025-06-09,29645
VTC,2025-06-10,144679
VTC,2025-06-11,29735
VTC,2025-06-12,55481
VTC,2025-06-16,67153
VTC,2025-06-17,79419
VTC,2025-06-18,10575
VTC,2025-06-30,15642
VTC,2025-07-01,36886
VTC,2025-07-02,63989
VTC,2025-07-03,44403
VTC,2025-07-04,23691
VTC,2025-07-05,5263
VTC,2025-07-06,41038
VTC,2025-07-07,23326
VTC,2025-07-09,71151
VTC,2025-07-10,37162
